API,Description,Example
"tf.compat.v1.LMDBReader(
    name=None, options=None
)
","[['Inherits From: ', 'ReaderBase']]","num_records_produced(
    name=None
)
"
"tf.Module(
    name=None
)
",[],"class Dense(tf.Module):
  def __init__(self, input_dim, output_size, name=None):
    super().__init__(name=name)
    self.w = tf.Variable(
      tf.random.normal([input_dim, output_size]), name='w')
    self.b = tf.Variable(tf.zeros([output_size]), name='b')
  def __call__(self, x):
    y = tf.matmul(x, self.w) + self.b
    return tf.nn.relu(y)"
"tf.no_gradient(
    op_type
)
","[['Specifies that ops of type ', 'op_type', ' is not differentiable.']]","tf.no_gradient(""Size"")
"
"tf.no_gradient(
    op_type
)
","[['Specifies that ops of type ', 'op_type', ' is not differentiable.']]","tf.no_gradient(""Size"")
"
"tf.errors.OpError(
    node_def, op, message, error_code, *args
)
",[],[]
"tf.Operation(
    node_def,
    g,
    inputs=None,
    output_types=None,
    control_inputs=None,
    input_types=None,
    original_op=None,
    op_def=None
)
",[],"colocation_groups()
"
"tf.OptionalSpec(
    element_spec
)
","[['Type specification for ', 'tf.experimental.Optional', '.'], ['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","@tf.function(input_signature=[tf.OptionalSpec(
  tf.TensorSpec(shape=(), dtype=tf.int32, name=None))])
def maybe_square(optional):
  if optional.has_value():
    x = optional.get_value()
    return x * x
  return -1
optional = tf.experimental.Optional.from_value(5)
print(maybe_square(optional))
tf.Tensor(25, shape=(), dtype=int32)"
"tf.queue.PaddingFIFOQueue(
    capacity,
    dtypes,
    shapes,
    names=None,
    shared_name=None,
    name='padding_fifo_queue'
)
","[['Inherits From: ', 'QueueBase']]","close(
    cancel_pending_enqueues=False, name=None
)
"
"tf.compat.v1.Print(
    input_, data, message=None, first_n=None, summarize=None, name=None
)
",[],[]
"tf.queue.PriorityQueue(
    capacity,
    types,
    shapes=None,
    names=None,
    shared_name=None,
    name='priority_queue'
)
","[['Inherits From: ', 'QueueBase']]","close(
    cancel_pending_enqueues=False, name=None
)
"
"tf.queue.QueueBase(
    dtypes, shapes, names, queue_ref
)
",[],"close(
    cancel_pending_enqueues=False, name=None
)
"
"tf.ragged.constant([[0], [1, 2]]).shape","[[None, '\n'], ['A ', 'RaggedTensor', ' is a tensor with one or more ', 'ragged dimensions', ', which are\ndimensions whose slices may have different lengths.  For example, the inner\n(column) dimension of ', 'rt=[[3, 1, 4, 1], [], [5, 9, 2], [6], []]', ' is ragged,\nsince the column slices (', 'rt[0, :]', ', ..., ', 'rt[4, :]', ') have different lengths.\nDimensions whose slices all have the same length are called ', 'uniform\ndimensions', '.  The outermost dimension of a ', 'RaggedTensor', ' is always uniform,\nsince it consists of a single slice (and so there is no possibility for\ndiffering slice lengths).'], ['The total number of dimensions in a ', 'RaggedTensor', ' is called its ', 'rank', ',\nand the number of ragged dimensions in a ', 'RaggedTensor', ' is called its\n', 'ragged-rank', '.  A ', 'RaggedTensor', ""'s ragged-rank is fixed at graph creation\ntime: it can't depend on the runtime values of "", 'Tensor', ""s, and can't vary\ndynamically for different session runs.""], ['Note that the ', '__init__', ' constructor is private. Please use one of the\nfollowing methods to construct a ', 'RaggedTensor', ':'], ['\n', 'tf.RaggedTensor.from_row_lengths', '\n', 'tf.RaggedTensor.from_value_rowids', '\n', 'tf.RaggedTensor.from_row_splits', '\n', 'tf.RaggedTensor.from_row_starts', '\n', 'tf.RaggedTensor.from_row_limits', '\n', 'tf.RaggedTensor.from_nested_row_splits', '\n', 'tf.RaggedTensor.from_nested_row_lengths', '\n', 'tf.RaggedTensor.from_nested_value_rowids', '\n'], ['Many ops support both ', 'Tensor', 's and ', 'RaggedTensor', 's\n(see ', 'tf.ragged', ' for a\nfull listing). The term ""potentially ragged tensor"" may be used to refer to a\ntensor that might be either a ', 'Tensor', ' or a ', 'RaggedTensor', '.  The ragged-rank\nof a ', 'Tensor', ' is zero.'], ['When documenting the shape of a RaggedTensor, ragged dimensions can be\nindicated by enclosing them in parentheses.  For example, the shape of\na 3-D ', 'RaggedTensor', ' that stores the fixed-size word embedding for each\nword in a sentence, for each sentence in a batch, could be written as\n', '[num_sentences, (num_words), embedding_size]', '.  The parentheses around\n', '(num_words)', ' indicate that dimension is ragged, and that the length\nof each element list in that dimension may vary for each item.'], ['Internally, a ', 'RaggedTensor', ' consists of a concatenated list of values that\nare partitioned into variable-length rows.  In particular, each ', 'RaggedTensor', '\nconsists of:'], ['\n', 'A ', '\n', 'A ', '\n'], ['\n', 'print(tf.RaggedTensor.from_row_splits(', '\n', '      values=[3, 1, 4, 1, 5, 9, 2, 6],', '\n', '      row_splits=[0, 4, 4, 7, 8, 8]))', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n'], ['In addition to ', 'row_splits', ', ragged tensors provide support for five other\nrow-partitioning schemes:'], ['\n', 'row_lengths', '\n', 'value_rowids', '\n', 'row_starts', '\n', 'row_limits', '\n', 'uniform_row_length', '\n'], ['Example: The following ragged tensors are equivalent, and all represent the\nnested list ', '[[3, 1, 4, 1], [], [5, 9, 2], [6], []]', '.'], ['\n', 'values = [3, 1, 4, 1, 5, 9, 2, 6]', '\n', 'RaggedTensor.from_row_splits(values, row_splits=[0, 4, 4, 7, 8, 8])', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_row_lengths(values, row_lengths=[4, 0, 3, 1, 0])', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_value_rowids(', '\n', '    values, value_rowids=[0, 0, 0, 0, 2, 2, 2, 3], nrows=5)', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_row_starts(values, row_starts=[0, 4, 4, 7, 8])', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_row_limits(values, row_limits=[4, 4, 7, 8, 8])', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_uniform_row_length(values, uniform_row_length=2)', '\n', '<tf.RaggedTensor [[3, 1], [4, 1], [5, 9], [2, 6]]>', '\n'], ['RaggedTensor', 's with multiple ragged dimensions can be defined by using\na nested ', 'RaggedTensor', ' for the ', 'values', ' tensor.  Each nested ', 'RaggedTensor', '\nadds a single ragged dimension.'], ['\n', 'inner_rt = RaggedTensor.from_row_splits(  # =rt1 from above', '\n', '    values=[3, 1, 4, 1, 5, 9, 2, 6], row_splits=[0, 4, 4, 7, 8, 8])', '\n', 'outer_rt = RaggedTensor.from_row_splits(', '\n', '    values=inner_rt, row_splits=[0, 3, 3, 5])', '\n', 'print(outer_rt.to_list())', '\n', '[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]', '\n', 'print(outer_rt.ragged_rank)', '\n', '2', '\n'], ['The factory function ', 'RaggedTensor.from_nested_row_splits', ' may be used to\nconstruct a ', 'RaggedTensor', ' with multiple ragged dimensions directly, by\nproviding a list of ', 'row_splits', ' tensors:'], ['\n', 'RaggedTensor.from_nested_row_splits(', '\n', '    flat_values=[3, 1, 4, 1, 5, 9, 2, 6],', '\n', '    nested_row_splits=([0, 3, 3, 5], [0, 4, 4, 7, 8, 8])).to_list()', '\n', '[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]', '\n'], ['RaggedTensor', 's with uniform inner dimensions can be defined\nby using a multidimensional ', 'Tensor', ' for ', 'values', '.'], ['\n', 'rt = RaggedTensor.from_row_splits(values=tf.ones([5, 3], tf.int32),', '\n', '                                  row_splits=[0, 2, 5])', '\n', 'print(rt.to_list())', '\n', '[[[1, 1, 1], [1, 1, 1]],', '\n', ' [[1, 1, 1], [1, 1, 1], [1, 1, 1]]]', '\n', 'print(rt.shape)', '\n', '(2, None, 3)', '\n'], ['RaggedTensor', 's with uniform outer dimensions can be defined by using\none or more ', 'RaggedTensor', ' with a ', 'uniform_row_length', ' row-partitioning\ntensor.  For example, a ', 'RaggedTensor', ' with shape ', '[2, 2, None]', ' can be\nconstructed with this method from a ', 'RaggedTensor', ' values with shape\n', '[4, None]', ':'], ['\n', 'values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])', '\n', 'print(values.shape)', '\n', '(4, None)', '\n', 'rt6 = tf.RaggedTensor.from_uniform_row_length(values, 2)', '\n', 'print(rt6)', '\n', '<tf.RaggedTensor [[[1, 2, 3], [4]], [[5, 6], [7, 8, 9, 10]]]>', '\n', 'print(rt6.shape)', '\n', '(2, 2, None)', '\n'], ['Note that ', 'rt6', ' only contains one ragged dimension (the innermost\ndimension). In contrast, if ', 'from_row_splits', ' is used to construct a similar\n', 'RaggedTensor', ', then that ', 'RaggedTensor', ' will have two ragged dimensions:'], ['\n', 'rt7 = tf.RaggedTensor.from_row_splits(values, [0, 2, 4])', '\n', 'print(rt7.shape)', '\n', '(2, None, None)', '\n'], ['Uniform and ragged outer dimensions may be interleaved, meaning that a\ntensor with any combination of ragged and uniform dimensions may be created.\nFor example, a RaggedTensor ', 't4', ' with shape ', '[3, None, 4, 8, None, 2]', ' could\nbe constructed as follows:'], ['Concretely, if ', 'rt.values', ' is a ', 'Tensor', ', then ', 'rt.flat_values', ' is\n', 'rt.values', '; otherwise, ', 'rt.flat_values', ' is ', 'rt.values.flat_values', '.'], ['Conceptually, ', 'flat_values', ' is the tensor formed by flattening the\noutermost dimension and all of the ragged dimensions into a single\ndimension.'], ['rt.flat_values.shape = [nvals] + rt.shape[rt.ragged_rank + 1:]', '\n(where ', 'nvals', ' is the number of items in the flattened dimensions).'], ['\n', 'rt = tf.ragged.constant([[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]])', '\n', 'print(rt.flat_values)', '\n', 'tf.Tensor([3 1 4 1 5 9 2 6], shape=(8,), dtype=int32)', '\n'], ['rt.nested_row_splits', ' is a tuple containing the ', 'row_splits', ' tensors for\nall ragged dimensions in ', 'rt', ', ordered from outermost to innermost.  In\nparticular, ', 'rt.nested_row_splits = (rt.row_splits,) + value_splits', ' where:'], ['\n', 'rt = tf.ragged.constant(', '\n', '    [[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]])', '\n', 'for i, splits in enumerate(rt.nested_row_splits):', '\n', ""  print('Splits for dimension %d: %s' % (i+1, splits.numpy()))"", '\n', 'Splits for dimension 1: [0 3]', '\n', 'Splits for dimension 2: [0 3 3 5]', '\n', 'Splits for dimension 3: [0 4 4 7 8 8]', '\n'], ['\n', 'values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])', '\n', 'values.ragged_rank', '\n', '1', '\n'], ['\n', 'rt = tf.RaggedTensor.from_uniform_row_length(values, 2)', '\n', 'rt.ragged_rank', '\n', '2', '\n'], ['rt.row_splits', ' specifies where the values for each row begin and end in\n', 'rt.values', '.  In particular, the values for row ', 'rt[i]', ' are stored in\nthe slice ', 'rt.values[rt.row_splits[i]:rt.row_splits[i+1]]', '.'], ['\n', 'rt = tf.ragged.constant([[3, 1, 4, 1], [], [5, 9, 2], [6], []])', '\n', 'print(rt.row_splits)  # indices of row splits in rt.values', '\n', 'tf.Tensor([0 4 4 7 8 8], shape=(6,), dtype=int64)', '\n']]","values = [3, 1, 4, 1, 5, 9, 2, 6]
RaggedTensor.from_row_splits(values, row_splits=[0, 4, 4, 7, 8, 8])
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_row_lengths(values, row_lengths=[4, 0, 3, 1, 0])
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_value_rowids(
    values, value_rowids=[0, 0, 0, 0, 2, 2, 2, 3], nrows=5)
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_row_starts(values, row_starts=[0, 4, 4, 7, 8])
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_row_limits(values, row_limits=[4, 4, 7, 8, 8])
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_uniform_row_length(values, uniform_row_length=2)
<tf.RaggedTensor [[3, 1], [4, 1], [5, 9], [2, 6]]>"
"tf.RaggedTensorSpec(
    shape=None,
    dtype=tf.dtypes.float32,
    ragged_rank=None,
    row_splits_dtype=tf.dtypes.int64,
    flat_values_spec=None
)
","[['Type specification for a ', 'tf.RaggedTensor', '.'], ['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","rt = tf.ragged.constant([[""a""], [""b"", ""c""]], dtype=tf.string)
tf.type_spec_from_value(rt).dtype
tf.string"
"tf.queue.RandomShuffleQueue(
    capacity,
    min_after_dequeue,
    dtypes,
    shapes=None,
    names=None,
    seed=None,
    shared_name=None,
    name='random_shuffle_queue'
)
","[['Inherits From: ', 'QueueBase']]","close(
    cancel_pending_enqueues=False, name=None
)
"
"tf.compat.v1.ReaderBase(
    reader_ref, supports_serialize=False
)
",[],"num_records_produced(
    name=None
)
"
"tf.RegisterGradient(
    op_type
)
",[],"@tf.RegisterGradient(""Sub"")
def _sub_grad(unused_op, grad):
  return grad, tf.negative(grad)
"
"tf.compat.v1.Session(
    target='', graph=None, config=None
)
",[],[]
"tf.compat.v1.SparseConditionalAccumulator(
    dtype,
    shape=None,
    shared_name=None,
    name='sparse_conditional_accumulator',
    reduction_type='MEAN'
)
","[['Inherits From: ', 'ConditionalAccumulatorBase']]","apply_grad(
    grad_indices, grad_values, grad_shape=None, local_step=0, name=None
)
"
"tf.io.SparseFeature(
    index_key, value_key, dtype, size, already_sorted=False
)
","[['Configuration for parsing a sparse input feature from an ', 'Example', '.']]","SparseTensor(indices=[[3, 1], [20, 0]],
             values=[0.5, -1.0]
             dense_shape=[100, 3])
"
"tf.sparse.SparseTensor(
    indices, values, dense_shape
)
",[],"dense.shape = dense_shape
dense[tuple(indices[i])] = values[i]
"
"tf.SparseTensorSpec(
    shape=None,
    dtype=tf.dtypes.float32
)
","[['Type specification for a ', 'tf.sparse.SparseTensor', '.'], ['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","experimental_as_proto() -> struct_pb2.TypeSpecProto
"
"tf.compat.v1.SparseTensorValue(
    indices, values, dense_shape
)
",[],[]
"tf.compat.v1.TFRecordReader(
    name=None, options=None
)
","[['Inherits From: ', 'ReaderBase']]","num_records_produced(
    name=None
)
"
"tf.Tensor(
    op, value_index, dtype
)
","[[None, '\n'], ['A ', 'tf.Tensor', ' represents a multidimensional array of elements.']]","# Compute some values using a Tensor
c = tf.constant([[1.0, 2.0], [3.0, 4.0]])
d = tf.constant([[1.0, 1.0], [0.0, 1.0]])
e = tf.matmul(c, d)
print(e)
tf.Tensor(
[[1. 3.]
 [3. 7.]], shape=(2, 2), dtype=float32)"
"tf.TensorArray(
    dtype,
    size=None,
    dynamic_size=None,
    clear_after_read=None,
    tensor_array_name=None,
    handle=None,
    flow=None,
    infer_shape=True,
    element_shape=None,
    colocate_with_first_write_call=True,
    name=None
)
",[],"ta = tf.TensorArray(tf.float32, size=0, dynamic_size=True, clear_after_read=False)
ta = ta.write(0, 10)
ta = ta.write(1, 20)
ta = ta.write(2, 30)
ta.read(0)
<tf.Tensor: shape=(), dtype=float32, numpy=10.0>
ta.read(1)
<tf.Tensor: shape=(), dtype=float32, numpy=20.0>
ta.read(2)
<tf.Tensor: shape=(), dtype=float32, numpy=30.0>
ta.stack()
<tf.Tensor: shape=(3,), dtype=float32, numpy=array([10., 20., 30.],
dtype=float32)>"
"tf.TensorArraySpec(
    element_shape=None,
    dtype=tf.dtypes.float32,
    dynamic_size=False,
    infer_shape=True
)
","[['Type specification for a ', 'tf.TensorArray', '.'], ['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","experimental_as_proto() -> struct_pb2.TypeSpecProto
"
"tf.TensorShape(
    dims
)
","[['Represents the shape of a ', 'Tensor', '.'], ['Inherits From: ', 'TraceType']]","as_list()
"
"tf.TensorSpec(
    shape,
    dtype=tf.dtypes.float32,
    name=None
)
","[['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","experimental_as_proto() -> struct_pb2.TensorSpecProto
"
"tf.compat.v1.TextLineReader(
    skip_header_lines=None, name=None
)
","[['Inherits From: ', 'ReaderBase']]","num_records_produced(
    name=None
)
"
"tf.io.VarLenFeature(
    dtype
)
",[],[]
"tf.compat.v1.Variable(
    initial_value=None,
    trainable=None,
    collections=None,
    validate_shape=True,
    caching_device=None,
    name=None,
    variable_def=None,
    dtype=None,
    expected_shape=None,
    import_scope=None,
    constraint=None,
    use_resource=None,
    synchronization=tf.VariableSynchronization.AUTO,
    aggregation=tf.compat.v1.VariableAggregation.NONE,
    shape=None
)
","[[None, '\n'], ['See the ', 'Variables Guide', '.'], ['Inherits From: ', 'Variable']]","import tensorflow as tf

# Create a variable.
w = tf.Variable(<initial-value>, name=<optional-name>)

# Use the variable in the graph like any Tensor.
y = tf.matmul(w, ...another variable or tensor...)

# The overloaded operators are available too.
z = tf.sigmoid(w + y)

# Assign a new value to the variable with `assign()` or a related method.
w.assign(w + 1.0)
w.assign_add(1.0)
"
"tf.Variable.SaveSliceInfo(
    full_name=None,
    full_shape=None,
    var_offset=None,
    var_shape=None,
    save_slice_info_def=None,
    import_scope=None
)
",[],"to_proto(
    export_scope=None
)
"
"tf.compat.v1.VariableScope(
    reuse,
    name='',
    initializer=None,
    regularizer=None,
    caching_device=None,
    partitioner=None,
    custom_getter=None,
    name_scope='',
    dtype=tf.dtypes.float32,
    use_resource=None,
    constraint=None
)
","[['Variable scope object to carry defaults to provide to ', 'get_variable', '.']]","get_collection(
    name
)
"
"tf.compat.v1.WholeFileReader(
    name=None
)
","[['Inherits From: ', 'ReaderBase']]","num_records_produced(
    name=None
)
"
"tf.math.abs(
    x, name=None
)
","[[None, '\n']]","# real number
x = tf.constant([-2.25, 3.25])
tf.abs(x)
<tf.Tensor: shape=(2,), dtype=float32,
numpy=array([2.25, 3.25], dtype=float32)>"
"tf.math.accumulate_n(
    inputs, shape=None, tensor_dtype=None, name=None
)
",[],"a = tf.constant([[1, 2], [3, 4]])
b = tf.constant([[5, 0], [0, 6]])
tf.math.accumulate_n([a, b, a]).numpy()
array([[ 7, 4],
       [ 6, 14]], dtype=int32)"
"tf.math.acos(
    x, name=None
)
",[],"x = tf.constant([1.0, -0.5, 3.4, 0.2, 0.0, -2], dtype = tf.float32)
tf.math.acos(x)
<tf.Tensor: shape=(6,), dtype=float32,
numpy= array([0. , 2.0943952, nan, 1.3694383, 1.5707964, nan],
dtype=float32)>"
"tf.math.acosh(
    x, name=None
)
",[],"x = tf.constant([-2, -0.5, 1, 1.2, 200, 10000, float(""inf"")])
tf.math.acosh(x) ==> [nan nan 0. 0.62236255 5.9914584 9.903487 inf]
"
"tf.math.add(
    x, y, name=None
)
",[],"x = [1, 2, 3, 4, 5]
y = 1
tf.add(x, y)
<tf.Tensor: shape=(5,), dtype=int32, numpy=array([2, 3, 4, 5, 6],
dtype=int32)>"
"tf.math.add_n(
    inputs, name=None
)
",[],"a = tf.constant([[3, 5], [4, 8]])
b = tf.constant([[1, 6], [2, 9]])
tf.math.add_n([a, b, a]).numpy()
array([[ 7, 16],
       [10, 25]], dtype=int32)"
"tf.compat.v1.add_to_collection(
    name, value
)
","[['Wrapper for ', 'Graph.add_to_collection()', ' using the default graph.']]",[]
"tf.compat.v1.add_to_collections(
    names, value
)
","[['Wrapper for ', 'Graph.add_to_collections()', ' using the default graph.']]",[]
"tf.math.angle(
    input, name=None
)
","[[None, '\n']]","input = tf.constant([-2.25 + 4.75j, 3.25 + 5.75j], dtype=tf.complex64)
tf.math.angle(input).numpy()
# ==> array([2.0131705, 1.056345 ], dtype=float32)
"
"tf.compat.v1.app.run(
    main=None, argv=None
)
",[],[]
"tf.approx_top_k(
    input,
    k,
    reduction_dimension=-1,
    recall_target=0.95,
    is_max_k=True,
    reduction_input_size_override=-1,
    aggregate_to_topk=True,
    name=None
)
",[],[]
"tf.compat.v1.arg_max(
    input,
    dimension,
    output_type=tf.dtypes.int64,
    name=None
)
",[],"import tensorflow as tf
a = [1, 10, 26.9, 2.8, 166.32, 62.3]
b = tf.math.argmax(input = a)
c = tf.keras.backend.eval(b)
# c = 4
# here a[4] = 166.32 which is the largest element of a across axis 0
"
"tf.compat.v1.arg_min(
    input,
    dimension,
    output_type=tf.dtypes.int64,
    name=None
)
",[],"import tensorflow as tf
a = [1, 10, 26.9, 2.8, 166.32, 62.3]
b = tf.math.argmin(input = a)
c = tf.keras.backend.eval(b)
# c = 0
# here a[0] = 1 which is the smallest element of a across axis 0
"
"tf.compat.v1.argmax(
    input,
    axis=None,
    name=None,
    dimension=None,
    output_type=tf.dtypes.int64
)
",[],"import tensorflow as tf
a = [1, 10, 26.9, 2.8, 166.32, 62.3]
b = tf.math.argmax(input = a)
c = tf.keras.backend.eval(b)
# c = 4
# here a[4] = 166.32 which is the largest element of a across axis 0
"
"tf.compat.v1.argmin(
    input,
    axis=None,
    name=None,
    dimension=None,
    output_type=tf.dtypes.int64
)
",[],"import tensorflow as tf
a = [1, 10, 26.9, 2.8, 166.32, 62.3]
b = tf.math.argmin(input = a)
c = tf.keras.backend.eval(b)
# c = 0
# here a[0] = 1 which is the smallest element of a across axis 0
"
"tf.argsort(
    values, axis=-1, direction='ASCENDING', stable=False, name=None
)
",[],"values = [1, 10, 26.9, 2.8, 166.32, 62.3]
sort_order = tf.argsort(values)
sort_order.numpy()
array([0, 3, 1, 2, 5, 4], dtype=int32)"
"tf.dtypes.as_dtype(
    type_value
)
","[['Converts the given ', 'type_value', ' to a ', 'DType', '.']]",[]
"tf.strings.as_string(
    input,
    precision=-1,
    scientific=False,
    shortest=False,
    width=-1,
    fill='',
    name=None
)
",[],"tf.strings.as_string([3, 2])
<tf.Tensor: shape=(2,), dtype=string, numpy=array([b'3', b'2'], dtype=object)>
tf.strings.as_string([3.1415926, 2.71828], precision=2).numpy()
array([b'3.14', b'2.72'], dtype=object)"
"tf.math.asin(
    x, name=None
)
",[],"# Note: [1.047, 0.785] ~= [(pi/3), (pi/4)]
x = tf.constant([1.047, 0.785])
y = tf.math.sin(x) # [0.8659266, 0.7068252]

tf.math.asin(y) # [1.047, 0.785] = x
"
"tf.math.asinh(
    x, name=None
)
",[],"  x = tf.constant([-float(""inf""), -2, -0.5, 1, 1.2, 200, 10000, float(""inf"")])
  tf.math.asinh(x) ==> [-inf -1.4436355 -0.4812118 0.8813736 1.0159732 5.991471 9.903487 inf]
"
"tf.compat.v1.assert_equal(
    x, y, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x == y', ' holds element-wise.']]","tf.compat.v1.assert_equal(
  x=x, y=y, data=data, summarize=summarize,
  message=message, name=name)
"
"tf.compat.v1.assert_greater(
    x, y, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x > y', ' holds element-wise.']]","tf.compat.v1.assert_greater(
  x=x, y=y, data=data, summarize=summarize,
  message=message, name=name)
"
"tf.compat.v1.assert_greater_equal(
    x, y, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x >= y', ' holds element-wise.']]","tf.compat.v1.assert_greater_equal(
  x=x, y=y, data=data, summarize=summarize,
  message=message, name=name)
"
"tf.compat.v1.assert_integer(
    x, message=None, name=None
)
","[['Assert that ', 'x', ' is of integer dtype.']]","with tf.control_dependencies([tf.compat.v1.assert_integer(x)]):
  output = tf.reduce_sum(x)
"
"tf.compat.v1.assert_less(
    x, y, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x < y', ' holds element-wise.']]","tf.compat.v1.assert_less(
  x=x, y=y, data=data, summarize=summarize,
  message=message, name=name)
"
"tf.compat.v1.assert_less_equal(
    x, y, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x <= y', ' holds element-wise.']]","tf.compat.v1.assert_less_equal(
  x=x, y=y, data=data, summarize=summarize,
  message=message, name=name)
"
"tf.compat.v1.assert_near(
    x,
    y,
    rtol=None,
    atol=None,
    data=None,
    summarize=None,
    message=None,
    name=None
)
","[['Assert the condition ', 'x', ' and ', 'y', ' are close element-wise.']]","with tf.control_dependencies([tf.compat.v1.assert_near(x, y)]):
  output = tf.reduce_sum(x)
"
"tf.compat.v1.assert_negative(
    x, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x < 0', ' holds element-wise.']]","with tf.control_dependencies([tf.debugging.assert_negative(x, y)]):
  output = tf.reduce_sum(x)
"
"tf.compat.v1.assert_non_negative(
    x, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x >= 0', ' holds element-wise.']]","with tf.control_dependencies([tf.debugging.assert_non_negative(x, y)]):
  output = tf.reduce_sum(x)
"
"tf.compat.v1.assert_non_positive(
    x, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x <= 0', ' holds element-wise.']]","with tf.control_dependencies([tf.debugging.assert_non_positive(x, y)]):
  output = tf.reduce_sum(x)
"
"tf.compat.v1.assert_none_equal(
    x, y, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x != y', ' holds element-wise.']]","tf.compat.v1.assert_none_equal(
  x=x, y=y, data=data, summarize=summarize,
  message=message, name=name)
"
"tf.compat.v1.assert_positive(
    x, data=None, summarize=None, message=None, name=None
)
","[['Assert the condition ', 'x > 0', ' holds element-wise.']]","with tf.control_dependencies([tf.debugging.assert_positive(x, y)]):
  output = tf.reduce_sum(x)
"
"tf.debugging.assert_proper_iterable(
    values
)
",[],[]
"tf.compat.v1.assert_rank(
    x, rank, data=None, summarize=None, message=None, name=None
)
","[['Assert ', 'x', ' has rank equal to ', 'rank', '.']]","with tf.control_dependencies([tf.compat.v1.assert_rank(x, 2)]):
  output = tf.reduce_sum(x)
"
"tf.compat.v1.assert_rank_at_least(
    x, rank, data=None, summarize=None, message=None, name=None
)
","[['Assert ', 'x', ' has rank equal to ', 'rank', ' or higher.']]","with tf.control_dependencies([tf.compat.v1.assert_rank_at_least(x, 2)]):
  output = tf.reduce_sum(x)
"
"tf.compat.v1.assert_rank_in(
    x, ranks, data=None, summarize=None, message=None, name=None
)
","[['Assert ', 'x', ' has rank in ', 'ranks', '.']]","with tf.control_dependencies([tf.compat.v1.assert_rank_in(x, (2, 4))]):
  output = tf.reduce_sum(x)
"
"tf.debugging.assert_same_float_dtype(
    tensors=None, dtype=None
)
","[['Validate and return float type based on ', 'tensors', ' and ', 'dtype', '.']]",[]
"tf.compat.v1.assert_scalar(
    tensor, name=None, message=None
)
","[['Asserts that the given ', 'tensor', ' is a scalar (i.e. zero-dimensional).']]",[]
"tf.compat.v1.assert_type(
    tensor, tf_type, message=None, name=None
)
","[['Statically asserts that the given ', 'Tensor', ' is of the specified type.']]",[]
"tf.compat.v1.assert_variables_initialized(
    var_list=None
)
",[],[]
"tf.compat.v1.assign(
    ref, value, validate_shape=None, use_locking=None, name=None
)
","[['Update ', 'ref', ' by assigning ', 'value', ' to it.']]","import tensorflow as tf
a = tf.Variable([1], shape=tf.TensorShape(None))
tf.compat.v1.assign(a, [2,3])"
"tf.compat.v1.assign_add(
    ref, value, use_locking=None, name=None
)
","[['Update ', 'ref', ' by adding ', 'value', ' to it.']]","with tf.Graph().as_default():
  with tf.compat.v1.Session() as sess:
    a = tf.compat.v1.Variable(0, dtype=tf.int64)
    sess.run(a.initializer)
    update_op = tf.compat.v1.assign_add(a, 1)
    res_a = sess.run(update_op)
    res_a
1"
