API,Description,Example,,
"
mxnet.symbol.tanh(data=None, name=None, attr=None, out=None, **kwargs)Â¶","['Returns the hyperbolic tangent of the input array, computed element-wise.', '\n', '\n\\[tanh(x) = sinh(x) / cosh(x)\\]', '\n', 'The storage type of ', 'tanh', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L451', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.tile(data=None, reps=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Repeats the whole array multiple times.\nIf ', 'reps', ' has length ', 'd', ', and input array has dimension of ', 'n', '. There are\nthree cases:\n- ', 'n=d', '. Repeat ', 'i', '-th dimension of the input by ', 'reps[i]', ' times:', '\n', None, '\n', '\n', '\n', 'n>d', '\n', 'n<d', '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L795', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.topk(data=None, axis=_Null, k=_Null, ret_typ=_Null, is_ascend=_Null, dtype=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['\n', 'Returns the indices of the top ', 'axis (by default).\nIf ret_type is set to â\x80\x98valueâ\x80\x99 returns the value of top ', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/ordering_op.cc:L67', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.transpose(data=None, axes=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Permutes the dimensions of an array.\nExamples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L327', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.trunc(data=None, name=None, attr=None, out=None, **kwargs)Â¶","['Return the element-wise truncated value of the input.', '\n', 'The truncated value of the scalar x is the nearest integer i which is closer to\nzero than x is. In short, the fractional part of the signed number x is discarded.', '\n', 'Example:', '\n', None, '\n', '\n', 'The storage type of ', 'trunc', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L856', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.uniform(low=_Null, high=_Null, shape=_Null, ctx=_Null, dtype=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Draw random samples from a uniform distribution.', '\n', '\n', 'Note', '\n', 'The existing alias ', '\n', '\n', 'Samples are uniformly distributed over the half-open interval ', '[low, high)', '\n(includes ', 'low', ', but excludes ', 'high', ').', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/random/sample_op.cc:L95', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.unravel_index(data=None, shape=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Converts an array of flat indices into a batch of index arrays. The operator follows numpy conventions so a single multi index is given by a column of the output matrix. The leading dimension may be left unspecified by using -1 as placeholder.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/ravel.cc:L67', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.where(condition=None, x=None, y=None, name=None, attr=None, out=None, **kwargs)Â¶","['Return the elements, either from x or y, depending on the condition.', '\n', 'Given three ndarrays, condition, x, and y, return an ndarray with the elements from x or y,\ndepending on the elements from condition are true or false. x and y must have the same shape.\nIf condition has the same shape as x, each element in the output array is from x if the\ncorresponding element in the condition is true, and from y if false.', '\n', 'If condition does not have the same shape as x, it must be a 1D array whose size is\nthe same as xâ\x80\x99s first dimension size. Each row of the output array is from xâ\x80\x99s row\nif the corresponding element from condition is true, and from yâ\x80\x99s row if false.', '\n', 'Note that all non-zero values are interpreted as ', 'True', ' in condition.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/control_flow_op.cc:L56', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.zeros_like(data=None, name=None, attr=None, out=None, **kwargs)Â¶","['Return an array of zeros with the same shape, type and storage type\nas the input array.', '\n', 'The storage type of ', 'zeros_like', ' output depends on the storage type of the input', '\n', '\n', 'zeros_like(row_sparse) = row_sparse', '\n', 'zeros_like(csr) = csr', '\n', 'zeros_like(default) = default', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
class mxnet.symbol.Symbol(handle)[source]Â¶","['Bases: ', 'mxnet._ctypes.symbol.SymbolBase', '\n', 'Symbol is symbolic graph of the mxnet.', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Attributes', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Returns self. For the convenience of conversion between legacy and np symbols.', '\n', '\n', '\n', '\n', 'Convert mx.sym.Symbol to mx.sym.np._Symbol.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Returns the attribute string for corresponding input key from the symbol.', '\n', '\n', '\n', '\n', 'Recursively gets all attributes from the symbol and its children.', '\n', '\n', '\n', '\n', 'Binds the current symbol to an executor and returns it.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Gets a debug string of symbol.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Evaluates a symbol given arguments.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Return symbol for target backend.', '\n', '\n', '\n', '\n', 'Gets a new grouped symbol whose output contains\ninputs to output nodes of the original symbol.', '\n', '\n', '\n', '\n', 'Gets a new grouped symbol ', '\n', '\n', '\n', '\n', 'Gets the autodiff of current symbol.', '\n', '\n', '\n', '\n', 'Infers the shapes of all arguments and all outputs given the known shapes of\nsome arguments.', '\n', '\n', '\n', '\n', 'Infers the shape partially.', '\n', '\n', '\n', '\n', 'Infers the type of all arguments and all outputs, given the known types\nfor some arguments.', '\n', '\n', '\n', '\n', 'Infers the type partially.', '\n', '\n', '\n', '\n', 'Lists all the arguments in the symbol.', '\n', '\n', '\n', '\n', 'Gets all attributes from the symbol.', '\n', '\n', '\n', '\n', 'Lists all the auxiliary states in the symbol.', '\n', '\n', '\n', '\n', 'Lists all arguments and auxiliary states of this Symbol.', '\n', '\n', '\n', '\n', 'Lists all the outputs in the symbol.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Gets name string from the symbol, this function only works for non-grouped symbol.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Partitions current symbol and optimizes it for a given backend,\nreturns new partitioned symbol.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Saves symbol to a file.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Bind current symbol to get an executor, allocate all the arguments needed.\nAllows specifying data types.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Saves symbol to a JSON string.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n']",,,
"
mxnet.symbol.var(name, attr=None, shape=None, lr_mult=None, wd_mult=None, dtype=None, init=None, stype=None, **kwargs)[source]Â¶","['Creates a symbolic variable with specified name.', '\n', 'Example', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'variable', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",">>> data=mx.sym.Variable('data',attr={'a':'b'})
>>> data
<Symbol data>
>>> csr_data=mx.sym.Variable('csr_data',stype='csr')
>>> csr_data
<Symbol csr_data>
>>> row_sparse_weight=mx.sym.Variable('weight',stype='row_sparse')
>>> row_sparse_weight
<Symbol weight>
",,
"
mxnet.symbol.Variable(name, attr=None, shape=None, lr_mult=None, wd_mult=None, dtype=None, init=None, stype=None, **kwargs)Â¶","['Creates a symbolic variable with specified name.', '\n', 'Example', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'variable', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",">>> data=mx.sym.Variable('data',attr={'a':'b'})
>>> data
<Symbol data>
>>> csr_data=mx.sym.Variable('csr_data',stype='csr')
>>> csr_data
<Symbol csr_data>
>>> row_sparse_weight=mx.sym.Variable('weight',stype='row_sparse')
>>> row_sparse_weight
<Symbol weight>
",,
"
mxnet.symbol.Group(symbols, create_fn=<class 'mxnet.symbol.symbol.Symbol'>)[source]Â¶","['Creates a symbol that contains a collection of other symbols, grouped together.\nA classic symbol (', 'mx.sym.Symbol', ') will be returned if all the symbols in the list\nare of that type; a numpy symbol (', 'mx.sym.np._Symbol', ') will be returned if all the\nsymbols in the list are of that type. A type error will be raised if a list of mixed\nclassic and numpy symbols are provided.', '\n', 'Example', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'sym', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",">>> a=mx.sym.Variable('a')
>>> b=mx.sym.Variable('b')
>>> mx.sym.Group([a,b])
<Symbol Grouped>
",,
"
mxnet.symbol.load(fname)[source]Â¶","['Loads symbol from a JSON file.', '\n', 'You can also use pickle to do the job if you only work on python.\nThe advantage of load/save is the file is language agnostic.\nThis means the file saved using save can be loaded by other language binding of mxnet.\nYou also get the benefit being able to directly load/save from cloud storage(S3, HDFS).', '\n', '\n', 'Parameters', '\n', 'fname', '\n', 'Returns', '\n', 'sym', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n', 'See also', '\n', '\n', '\n', '\n', '\n']",,,
"
mxnet.symbol.load_json(json_str)[source]Â¶","['Loads symbol from json string.', '\n', '\n', 'Parameters', '\n', 'json_str', '\n', 'Returns', '\n', 'sym', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n', 'See also', '\n', '\n', '\n', '\n', '\n']",,,
"
mxnet.symbol.pow(base, exp)[source]Â¶","['Returns element-wise result of base element raised to powers from exp element.', '\n', 'Both inputs can be Symbol or scalar number.\nBroadcasting is not supported. Use ', 'broadcast_pow', ' instead.', '\n', 'sym.pow', ' is being deprecated, please use ', 'sym.power', ' instead.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The bases in x raised to the exponents in y.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.symbol.power(base, exp)[source]Â¶","['Returns element-wise result of base element raised to powers from exp element.', '\n', 'Both inputs can be Symbol or scalar number.\nBroadcasting is not supported. Use ', 'broadcast_pow', ' instead.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The bases in x raised to the exponents in y.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.symbol.maximum(left, right)[source]Â¶","['Returns element-wise maximum of the input elements.', '\n', 'Both inputs can be Symbol or scalar number. Broadcasting is not supported.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The element-wise maximum of the input symbols.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.symbol.minimum(left, right)[source]Â¶","['Returns element-wise minimum of the input elements.', '\n', 'Both inputs can be Symbol or scalar number. Broadcasting is not supported.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The element-wise minimum of the input symbols.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.symbol.hypot(left, right)[source]Â¶","['Given the â\x80\x9clegsâ\x80\x9d of a right triangle, returns its hypotenuse.', '\n', 'Equivalent to ', '\\(\\sqrt(left^2 + right^2)\\)', ', element-wise.\nBoth inputs can be Symbol or scalar number. Broadcasting is not supported.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The hypotenuse of the triangle(s)', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.symbol.eye(N, M=0, k=0, dtype=None, **kwargs)[source]Â¶","['Returns a new symbol of 2-D shpae, filled with ones on the diagonal and zeros elsewhere.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.zeros(shape, dtype=None, **kwargs)[source]Â¶","['Returns a new symbol of given shape and type, filled with zeros.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.ones(shape, dtype=None, **kwargs)[source]Â¶","['Returns a new symbol of given shape and type, filled with ones.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.full(shape, val, dtype=None, **kwargs)[source]Â¶","['Returns a new array of given shape and type, filled with the given value ', 'val', '.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.arange(start, stop=None, step=1.0, repeat=1, infer_range=False, name=None, dtype=None)[source]Â¶","['Returns evenly spaced values within a given interval.', '\n', 'Values are generated within the half-open interval [', 'start', ', ', 'stop', '). In other\nwords, the interval includes ', 'start', ' but excludes ', 'stop', '. The function is\nsimilar to the built-in Python function ', 'range', ' and to ', 'numpy.arange', ',\nbut returns a ', 'Symbol', '.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.linspace(start, stop, num, endpoint=True, name=None, dtype=None)[source]Â¶","['Return evenly spaced numbers within a specified interval.', '\n', 'Values are generated within the half-open interval [', 'start', ', ', 'stop', ') or\nclosed interval [start, stop] depending on whether ', 'endpoint', ' is True or\nFalse. The function is similar to ', 'numpy.linspace', ', but returns a ', 'Symbol', '.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.histogram(a, bins=10, range=None, **kwargs)[source]Â¶","['Compute the histogram of the input data.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.split_v2(ary, indices_or_sections, axis=0, squeeze_axis=False)[source]Â¶","['Split an array into multiple sub-arrays.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.rand_zipfian(true_classes, num_sampled, range_max)[source]Â¶","['Draw random samples from an approximately log-uniform or Zipfian distribution.', '\n', 'This operation randomly samples ', 'num_sampled', ' candidates the range of integers [0, range_max).\nThe elements of sampled_candidates are drawn with replacement from the base distribution.', '\n', 'The base distribution for this operator is an approximately log-uniform or Zipfian distribution:', '\n', 'P(class) = (log(class + 2) - log(class + 1)) / log(range_max + 1)', '\n', 'This sampler is useful when the true classes approximately follow such a distribution.\nFor example, if the classes represent words in a lexicon sorted in decreasing order of     frequency. If your classes are not ordered by decreasing frequency, do not use this op.', '\n', 'Additionaly, it also returns the number of times each of the     true classes and the sampled classes is expected to occur.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', '\n', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.foreach(body, data, init_states, name='foreach')[source]Â¶","['Run a for loop with user-defined computation over Symbols on dimension 0.', '\n', 'This operator simulates a for loop and body has the computation for an iteration\nof the for loop. It runs the computation in body on each slice from the input\nNDArrays.', '\n', 'body takes two arguments as input and outputs a tuple of two elements,\nas illustrated below:', '\n', 'out, states = body(data1, states)', '\n', 'data1 can be either a symbol or a list of symbols. If data is a symbol,\ndata1 is a symbol. Otherwise, data1 is a list of symbols and has the same\nsize as data. states is a list of symbols and have the same size as init_states.\nSimilarly, out can be either a symbol or a list of symbols, which are concatenated\nas the first output of foreach; states from the last execution of body\nare the second output of foreach.', '\n', 'foreach can output only output data or states. If a user only wants states,\nthe body function can return ([], states). Similarly, if a user only wants\noutput data, the body function can return (out, []).', '\n', 'The computation done by this operator is equivalent to the pseudo code below\nwhen the input data is NDArray:', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', '\n', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.while_loop(cond, func, loop_vars, max_iterations=None, name='while_loop')[source]Â¶","['Run a while loop with user-defined computation and loop condition.', '\n', 'This operator simulates a while loop which iterately does customized computation\nas long as the condition is satisfied.', '\n', 'loop_vars', ' is a Symbol or nested lists of Symbols on which the computation uses.', '\n', 'cond', ' is a user-defined function, used as the loop condition.\nIt consumes ', 'loop_vars', ', and produces a scalar MXNet symbol,\nindicating the termination of the loop.\nThe loop ends when ', 'cond', ' returns false (zero).\nThe ', 'cond', ' is variadic, and its signature should be\n', 'cond(*loop_vars) => Symbol', '.', '\n', 'func', ' is a user-defined function, used as the loop body.\nIt also consumes ', 'loop_vars', ', and produces ', 'step_output', ' and ', 'new_loop_vars', ' at each step.\nIn each step, ', 'step_output', ' should contain the same number elements.\nThrough all steps, the i-th element of ', 'step_output', ' should have the same shape and dtype.\nAlso, ', 'new_loop_vars', ' should contain the same number of elements as ', 'loop_vars', ',\nand the corresponding element should have the same shape and dtype.\nThe ', 'func', ' is variadic, and its signature should be\n', 'func(*loop_vars) =>\n(Symbol or nested List[Symbol] step_output, Symbol or nested List[Symbol] new_loop_vars)', '.', '\n', 'max_iterations', ' is a scalar that defines the maximum number of iterations allowed.', '\n', 'This function returns two lists.\nThe first list has the length of ', '|step_output|', ',\nin which the i-th element are all i-th elements of\n', 'step_output', ' from all steps, stacked along axis 0.\nThe second list has the length of ', '|loop_vars|', ',\nwhich represents final states of loop variables.', '\n', '\n', 'Warning', '\n', 'For now, the axis 0 of all Symbols in the first list are ', '\n', '\n', '\n', 'Warning', '\n', 'Even if ', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', '\n', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.cond(pred, then_func, else_func, name='cond')[source]Â¶","['Run an if-then-else using user-defined condition and computation', '\n', 'This operator simulates a if-like branch which chooses to do one of\nthe two customized computations according to the specified condition.', '\n', 'pred', ' is a scalar MXNet Symbol,\nindicating which branch of computation should be used.', '\n', 'then_func', ' is a user-defined function, used as computation of the then branch.\nIt produces ', 'outputs', ', which is a list of Symbols.\nThe signature of ', 'then_func', ' should be\n', 'then_func() => nested List[Symbol]', '.', '\n', 'else_func', ' is a user-defined function, used as computation of the else branch.\nIt produces ', 'outputs', ', which is a list of Symbols.\nThe signature of ', 'else_func', ' should be\n', 'else_func() => nested List[Symbol]', '.', '\n', 'The ', 'outputs', ' produces by ', 'then_func', ' and ', 'else_func', ' should have the same number\nof elements, all of which should be in the same shape, of the same dtype and stype.', '\n', 'This function returns a list of symbols, representing the computation result.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'outputs', '\n', 'Return type', '\n', 'a Symbol or nested lists of Symbols, representing the result of computation.', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.AdaptiveAvgPooling2D(data=None, output_size=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Applies a 2D adaptive average pooling over a 4D input with the shape of (NCHW).\nThe pooling kernel and stride sizes are automatically chosen for desired output sizes.', '\n', '\n', 'If a single integer is provided for output_size, the output size is (N x C x output_size x output_size) for any input (NCHW).', '\n', 'If a tuple of integers (height, width) are provided for output_size, the output size is (N x C x height x width) for any input (NCHW).', '\n', '\n', 'Defined in src/operator/contrib/adaptive_avg_pooling.cc:L213', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.BatchNormWithReLU(data=None, gamma=None, beta=None, moving_mean=None, moving_var=None, eps=_Null, momentum=_Null, fix_gamma=_Null, use_global_stats=_Null, output_mean_var=_Null, axis=_Null, cudnn_off=_Null, min_calib_range=_Null, max_calib_range=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Batch normalization with ReLU fusion.', '\n', 'An extented operator of Batch normalization which can fuse ReLU activation.', '\n', 'Defined in src/operator/contrib/batch_norm_relu.cc:L249', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.BilinearResize2D(data=None, like=None, height=_Null, width=_Null, scale_height=_Null, scale_width=_Null, mode=_Null, align_corners=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Perform 2D resizing (upsampling or downsampling) for 4D input using bilinear interpolation.', '\n', 'Expected input is a 4 dimensional NDArray (NCHW) and the output\nwith the shape of (N x C x height x width).\nThe key idea of bilinear interpolation is to perform linear interpolation\nfirst in one direction, and then again in the other direction. See the wikipedia of\n', 'Bilinear interpolation', '\nfor more details.', '\n', 'Defined in src/operator/contrib/bilinear_resize.cc:L219', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
