"
class mxnet.ndarray.CachedOp(sym, flags=())[source]Â¶","['Bases: ', 'object', '\n', 'Cached operator handle.', '\n', '\n']"
"
mxnet.ndarray.sin(data=None, out=None, name=None, **kwargs)Â¶","['Computes the element-wise sine of the input array.', '\n', 'The input should be in radians (', '\\(2\\pi\\)', ' rad equals 360 degrees).', '\n', '\n\\[sin([0, \\pi/4, \\pi/2]) = [0, 0.707, 1]\\]', '\n', 'The storage type of ', 'sin', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L47', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.sinh(data=None, out=None, name=None, **kwargs)Â¶","['Returns the hyperbolic sine of the input array, computed element-wise.', '\n', '\n\\[sinh(x) = 0.5\\times(exp(x) - exp(-x))\\]', '\n', 'The storage type of ', 'sinh', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L371', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.size_array(data=None, out=None, name=None, **kwargs)Â¶","['Returns a 1D int64 array containing the size of data.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L624', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.slice(data=None, begin=_Null, end=_Null, step=_Null, out=None, name=None, **kwargs)Â¶","['Slices a region of the array.\n.. note:: ', 'crop', ' is deprecated. Use ', 'slice', ' instead.\nThis function returns a sliced array between the indices given\nby ', 'begin', ' and ', 'end', ' with the corresponding ', 'step', '.\nFor an input array of ', 'shape=(d_0,', ',\nslice operation with ', 'begin=(b_0,', ',\n', 'end=(e_0,', ', and ', 'step=(s_0,', ',\nwhere m <= n, results in an array with the shape\n', '(|e_0-b_0|/|s_0|,', '.\nThe resulting arrayâ\x80\x99s ', 'k', '-th dimension contains elements\nfrom the ', 'k', '-th dimension of the input array starting\nfrom index ', 'b_k', ' (inclusive) with step ', 's_k', '\nuntil reaching ', 'e_k', ' (exclusive).\nIf the ', 'k', '-th elements are ', 'None', ' in the sequence of ', 'begin', ', ', 'end', ',\nand ', 'step', ', the following rule will be used to set default values.\nIf ', 's_k', ' is ', 'None', ', set ', 's_k=1', '. If ', 's_k > 0', ', set ', 'b_k=0', ', ', 'e_k=d_k', ';\nelse, set ', 'b_k=d_k-1', ', ', 'e_k=-1', '.\nThe storage type of ', 'slice', ' output depends on storage types of inputs\n- slice(csr) = csr\n- otherwise, ', 'slice', ' generates output with default storage\n.. note:: When input data storage type is csr, it only supports', '\n', '\n', 'step=(), or step=(None,), or step=(1,) to generate a csr output.\nFor other step parameter values, it falls back to slicing\na dense tensor.', '\n', '\n', 'Example::', '\n', '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L481', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.slice_axis(data=None, axis=_Null, begin=_Null, end=_Null, out=None, name=None, **kwargs)Â¶","['Slices along a given axis.\nReturns an array slice along a given ', 'axis', ' starting from the ', 'begin', ' index\nto the ', 'end', ' index.\nExamples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L570', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.slice_like(data=None, shape_like=None, axes=_Null, out=None, name=None, **kwargs)Â¶","['Slices a region of the array like the shape of another array.\nThis function is similar to ', 'slice', ', however, the ', 'begin', ' are always ', '0`s\nand `end', ' of specific axes are inferred from the second input ', 'shape_like', '.\nGiven the second ', 'shape_like', ' input of ', 'shape=(d_0,', ',\na ', 'slice_like', ' operator with default empty ', 'axes', ', it performs the\nfollowing operation:\n`` out = slice(input, begin=(0, 0, â\x80¦, 0), end=(d_0, d_1, â\x80¦, d_n-1))``.\nWhen ', 'axes', ' is not empty, it is used to speficy which axes are being sliced.\nGiven a 4-d input data, ', 'slice_like', ' operator with ', 'axes=(0,', '\nwill perform the following operation:\n`` out = slice(input, begin=(0, 0, 0, 0), end=(d_0, None, d_2, d_3))``.\nNote that it is allowed to have first and second input with different dimensions,\nhowever, you have to make sure the ', 'axes', ' are specified and not exceeding the\ndimension limits.\nFor example, given ', 'input_1', ' with ', 'shape=(2,3,4,5)', ' and ', 'input_2', ' with\n', 'shape=(1,2,3)', ', it is not allowed to use:\n`` out = slice_like(a, b)`` because ndim of ', 'input_1', ' is 4, and ndim of ', 'input_2', '\nis 3.\nThe following is allowed in this situation:\n`` out = slice_like(a, b, axes=(0, 2))``\nExample:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L624', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.smooth_l1(data=None, scalar=_Null, out=None, name=None, **kwargs)Â¶","['Calculate Smooth L1 Loss(lhs, scalar) by summing', '\n', '\n\\[\\begin{split}f(x) =\n\\begin{cases}\n(\\sigma x)^2/2,& \\text{if }x < 1/\\sigma^2\\\\\n|x|-0.5/\\sigma^2,& \\text{otherwise}\n\\end{cases}\\end{split}\\]', '\n', 'where ', '\\(x\\)', ' is an element of the tensor ', 'lhs', ' and ', '\\(\\sigma\\)', ' is the scalar.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_binary_scalar_op_extended.cc:L108', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.softmax(data=None, length=None, axis=_Null, temperature=_Null, dtype=_Null, use_length=_Null, out=None, name=None, **kwargs)Â¶","['Applies the softmax function.', '\n', 'The resulting array contains elements in the range (0,1) and the elements along the given axis sum up to 1.', '\n', '\n\\[softmax(\\mathbf{z/t})_j = \\frac{e^{z_j/t}}{\\sum_{k=1}^K e^{z_k/t}}\\]', '\n', 'for ', '\\(j = 1, ..., K\\)', '\n', 't is the temperature parameter in softmax function. By default, t equals 1.0', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/nn/softmax.cc:L135', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.softmax_cross_entropy(data=None, label=None, out=None, name=None, **kwargs)Â¶","['Calculate cross entropy of softmax output and one-hot label.', '\n', '\n', 'This operator computes the cross entropy in two steps:\n- Applies softmax function on the input array.\n- Computes and returns the cross entropy loss between the softmax output and the labels.', '\n', 'The softmax function and cross entropy loss is given by:', '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/loss_binary_op.cc:L58', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.softmin(data=None, axis=_Null, temperature=_Null, dtype=_Null, use_length=_Null, out=None, name=None, **kwargs)Â¶","['Applies the softmin function.', '\n', 'The resulting array contains elements in the range (0,1) and the elements along the given axis sum\nup to 1.', '\n', '\n\\[softmin(\\mathbf{z/t})_j = \\frac{e^{-z_j/t}}{\\sum_{k=1}^K e^{-z_k/t}}\\]', '\n', 'for ', '\\(j = 1, ..., K\\)', '\n', 't is the temperature parameter in softmax function. By default, t equals 1.0', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/nn/softmin.cc:L56', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.softsign(data=None, out=None, name=None, **kwargs)Â¶","['Computes softsign of x element-wise.', '\n', '\n\\[y = x / (1 + abs(x))\\]', '\n', 'The storage type of ', 'softsign', ' output is always dense', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L191', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.sort(data=None, axis=_Null, is_ascend=_Null, out=None, name=None, **kwargs)Â¶","['Returns a sorted copy of an input array along the given axis.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/ordering_op.cc:L132', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.space_to_depth(data=None, block_size=_Null, out=None, name=None, **kwargs)Â¶","['Rearranges(permutes) blocks of spatial data into depth.\nSimilar to ONNX SpaceToDepth operator:\n', 'https://github.com/onnx/onnx/blob/master/docs/Operators.md#SpaceToDepth', '\nThe output is a new tensor where the values from height and width dimension are\nmoved to the depth dimension. The reverse of this operation is ', 'depth_to_space', '.\n.. math:', '\n', None, '\n', '\n', 'where ', '\\(x\\)', ' is an input tensor with default layout as ', '\\([N, C, H, W]\\)', ': [batch, channels, height, width]\nand ', '\\(y\\)', ' is the output tensor of layout ', '\\([N, C * (block\\_size ^ 2), H / block\\_size, W / block\\_size]\\)', '\nExample:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L1018', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.split(data=None, num_outputs=_Null, axis=_Null, squeeze_axis=_Null, out=None, name=None, **kwargs)Â¶","['Splits an array along a particular axis into multiple sub-arrays.', '\n', '\n', 'Note', '\n', 'SliceChannel', '\n', '\n', 'Note', ' that ', 'num_outputs', ' should evenly divide the length of the axis\nalong which to split the array.', '\n', 'Example:', '\n', None, '\n', '\n', 'squeeze_axis=1', ' removes the axis with length 1 from the shapes of the output arrays.\n', 'Note', ' that setting ', 'squeeze_axis', ' to ', '1', ' removes axis with length 1 only\nalong the ', 'axis', ' which it is split.\nAlso ', 'squeeze_axis', ' can be set to true only if ', 'input.shape[axis]', '.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/slice_channel.cc:L106', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.sqrt(data=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise square-root value of the input.', '\n', '\n\\[\\textrm{sqrt}(x) = \\sqrt{x}\\]', '\n', 'Example:', '\n', None, '\n', '\n', 'The storage type of ', 'sqrt', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_pow.cc:L170', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.square(data=None, out=None, name=None, **kwargs)Â¶","['Returns element-wise squared value of the input.', '\n', '\n\\[square(x) = x^2\\]', '\n', 'Example:', '\n', None, '\n', '\n', 'The storage type of ', 'square', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_pow.cc:L119', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.squeeze(data=None, axis=_Null, out=None, name=None, **kwargs)Â¶","['Remove single-dimensional entries from the shape of an array.\nSame behavior of defining the output tensor shape as numpy.squeeze for the most of cases.\nSee the following note for exception.\nExamples:', '\n', None, '\n', '\n', '\n', 'Note', '\n', 'The output of this operator will keep at least one dimension not removed. For example,\nsqueeze([[[4]]]) = [4], while in numpy.squeeze, the output will become a scalar.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.stack(*data, **kwargs)Â¶","['Join a sequence of arrays along a new axis.\nThe axis parameter specifies the index of the new axis in the dimensions of the\nresult. For example, if axis=0 it will be the first dimension and if axis=-1 it\nwill be the last dimension.\nExamples:', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.stop_gradient(data=None, out=None, name=None, **kwargs)Â¶","['Stops gradient computation.', '\n', 'Stops the accumulated gradient of the inputs from flowing through this operator\nin the backward direction. In other words, this operator prevents the contribution\nof its inputs to be taken into account for computing gradients.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L325', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.sum(data=None, axis=_Null, keepdims=_Null, exclude=_Null, out=None, name=None, **kwargs)Â¶","['Computes the sum of array elements over given axes.', '\n', '\n', 'Note', '\n', 'sum', '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/broadcast_reduce_sum_value.cc:L66', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.sum_axis(data=None, axis=_Null, keepdims=_Null, exclude=_Null, out=None, name=None, **kwargs)Â¶","['Computes the sum of array elements over given axes.', '\n', '\n', 'Note', '\n', 'sum', '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/broadcast_reduce_sum_value.cc:L66', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.swapaxes(data=None, dim1=_Null, dim2=_Null, out=None, name=None, **kwargs)Â¶","['Interchanges two axes of an array.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/swapaxis.cc:L69', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.take(a=None, indices=None, axis=_Null, mode=_Null, out=None, name=None, **kwargs)Â¶","['Takes elements from an input array along the given axis.', '\n', 'This function slices the input array along a particular axis with the provided indices.', '\n', 'Given data tensor of rank r >= 1, and indices tensor of rank q, gather entries of the axis\ndimension of data (by default outer-most one as axis=0) indexed by indices, and concatenates them\nin an output tensor of rank q + (r - 1).', '\n', 'Examples:', '\n', None, '\n', '\n', 'The storage type of ', 'take', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/indexing_op.cc:L776', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.tan(data=None, out=None, name=None, **kwargs)Â¶","['Computes the element-wise tangent of the input array.', '\n', 'The input should be in radians (', '\\(2\\pi\\)', ' rad equals 360 degrees).', '\n', '\n\\[tan([0, \\pi/4, \\pi/2]) = [0, 1, -inf]\\]', '\n', 'The storage type of ', 'tan', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L140', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.tanh(data=None, out=None, name=None, **kwargs)Â¶","['Returns the hyperbolic tangent of the input array, computed element-wise.', '\n', '\n\\[tanh(x) = sinh(x) / cosh(x)\\]', '\n', 'The storage type of ', 'tanh', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_trig.cc:L451', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.tile(data=None, reps=_Null, out=None, name=None, **kwargs)Â¶","['Repeats the whole array multiple times.\nIf ', 'reps', ' has length ', 'd', ', and input array has dimension of ', 'n', '. There are\nthree cases:\n- ', 'n=d', '. Repeat ', 'i', '-th dimension of the input by ', 'reps[i]', ' times:', '\n', None, '\n', '\n', '\n', 'n>d', '\n', 'n<d', '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L795', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.topk(data=None, axis=_Null, k=_Null, ret_typ=_Null, is_ascend=_Null, dtype=_Null, out=None, name=None, **kwargs)Â¶","['\n', 'Returns the indices of the top ', 'axis (by default).\nIf ret_type is set to â\x80\x98valueâ\x80\x99 returns the value of top ', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/ordering_op.cc:L67', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.transpose(data=None, axes=_Null, out=None, name=None, **kwargs)Â¶","['Permutes the dimensions of an array.\nExamples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L327', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.trunc(data=None, out=None, name=None, **kwargs)Â¶","['Return the element-wise truncated value of the input.', '\n', 'The truncated value of the scalar x is the nearest integer i which is closer to\nzero than x is. In short, the fractional part of the signed number x is discarded.', '\n', 'Example:', '\n', None, '\n', '\n', 'The storage type of ', 'trunc', ' output depends upon the input storage type:', '\n', '\n', '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L856', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.uniform(low=_Null, high=_Null, shape=_Null, ctx=_Null, dtype=_Null, out=None, name=None, **kwargs)Â¶","['Draw random samples from a uniform distribution.', '\n', '\n', 'Note', '\n', 'The existing alias ', '\n', '\n', 'Samples are uniformly distributed over the half-open interval ', '[low, high)', '\n(includes ', 'low', ', but excludes ', 'high', ').', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/random/sample_op.cc:L95', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.unravel_index(data=None, shape=_Null, out=None, name=None, **kwargs)Â¶","['Converts an array of flat indices into a batch of index arrays. The operator follows numpy conventions so a single multi index is given by a column of the output matrix. The leading dimension may be left unspecified by using -1 as placeholder.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/ravel.cc:L67', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.where(condition=None, x=None, y=None, out=None, name=None, **kwargs)Â¶","['Return the elements, either from x or y, depending on the condition.', '\n', 'Given three ndarrays, condition, x, and y, return an ndarray with the elements from x or y,\ndepending on the elements from condition are true or false. x and y must have the same shape.\nIf condition has the same shape as x, each element in the output array is from x if the\ncorresponding element in the condition is true, and from y if false.', '\n', 'If condition does not have the same shape as x, it must be a 1D array whose size is\nthe same as xâ\x80\x99s first dimension size. Each row of the output array is from xâ\x80\x99s row\nif the corresponding element from condition is true, and from yâ\x80\x99s row if false.', '\n', 'Note that all non-zero values are interpreted as ', 'True', ' in condition.', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/control_flow_op.cc:L56', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.zeros_like(data=None, out=None, name=None, **kwargs)Â¶","['Return an array of zeros with the same shape, type and storage type\nas the input array.', '\n', 'The storage type of ', 'zeros_like', ' output depends on the storage type of the input', '\n', '\n', 'zeros_like(row_sparse) = row_sparse', '\n', 'zeros_like(csr) = csr', '\n', 'zeros_like(default) = default', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
