API,Description,Example1,Example2,,
"
 class torch.nn. PReLU ( num_parameters ,  init ,  device ,  dtype ) [source] ¶","Applies the element-wise function: 
 PReLU or 
 PReLU Here  a  is a learnable parameter. When called without arguments,  nn.PReLU()  uses a single
parameter  a  across all input channels. If called with  nn.PReLU(nChannels) ,
a separate  a  is used for each input channel. 
 Note 
 weight decay should not be used when learning  
 
 Note 
 Channel dim is the 2nd dim of input. When input has dims < 2, then there is
no channel dim and the number of channels = 1. 
 
 Parameters 
 
 
 
 Shape: 
 
 
 Variables 
 weight 
 
 Examples: 
 
",,,,
"
 class torch.nn. ReLU ( inplace ) [source] ¶","Applies the rectified linear unit function element-wise: ReLU 
 Parameters 
 inplace 
 
 Shape: 
 
 
 Examples: 
 
",,,,
"
 class torch.nn. ReLU6 ( inplace ) [source] ¶","Applies the element-wise function: 
 ReLU6 
 Parameters 
 inplace 
 
 Shape: 
 
 
 Examples: 
 
",,,,
"
 class torch.nn. RReLU ( lower ,  upper ,  inplace ) [source] ¶","Applies the randomized leaky rectified liner unit function, element-wise,
as described in the paper: Empirical Evaluation of Rectified Activations in Convolutional Network . The function is defined as: 
 RReLU where  a  is randomly sampled from uniform distribution
 U . 
 See:  
 Parameters 
 
 
 
 Shape: 
 
 
 Examples: 
 
",,,,
"
 class torch.nn. SELU ( inplace ) [source] ¶","Applied element-wise, as: 
 SELU with  α  and
 scale . 
 Warning 
 When using  
 More details can be found in the paper  Self-Normalizing Neural Networks  . 
 Parameters 
 inplace 
 
 Shape: 
 
 
 Examples: 
 
",,,,
"
 class torch.nn. CELU ( alpha ,  inplace ) [source] ¶","Applies the element-wise function: 
 CELU More details can be found in the paper  Continuously Differentiable Exponential Linear Units  . 
 Parameters 
 
 
 
 Shape: 
 
 
 Examples: 
 
",,,,
"
 class torch.nn. GELU ( approximate ) [source] ¶","Applies the Gaussian Error Linear Units function: 
 GELU where  Φ  is the Cumulative Distribution Function for Gaussian Distribution. When the approximate argument is ‘tanh’, Gelu is estimated with: 
 GELU 
 Parameters 
 approximate 
 
 Shape: 
 
 
 Examples: 
 
",,,,
"
 class torch.nn. Sigmoid [source] ¶","Applies the element-wise function: 
 Sigmoid 
 Shape: 
 
 
 Examples: 
 
 
 
",,,,
"
 class torch.nn. SiLU ( inplace ) [source] ¶","Applies the Sigmoid Linear Unit (SiLU) function, element-wise.
The SiLU function is also known as the swish function. 
 silu 
 Note 
 See  
 
 Shape: 
 
 
 Examples: 
 
 
 
",,,,
"
 class torch.nn. Mish ( inplace ) [source] ¶","Applies the Mish function, element-wise.
Mish: A Self Regularized Non-Monotonic Neural Activation Function. 
 Mish 
 Note 
 See  
 
 Shape: 
 
 
 Examples: 
 
 
 
",,,,
"
 class torch.nn. Softplus ( beta ,  threshold ) [source] ¶","Applies the Softplus function  Softplus  element-wise. SoftPlus is a smooth approximation to the ReLU function and can be used
to constrain the output of a machine to always be positive. For numerical stability the implementation reverts to the linear function
when  i . 
 Parameters 
 
 
 
 Shape: 
 
 
 Examples: 
 
",,,,
"
 class torch.nn. Softshrink ( lambd ) [source] ¶","Applies the soft shrinkage function elementwise: 
 SoftShrinkage 
 Parameters 
 lambd 
 
 Shape: 
 
 
 Examples: 
 
",,,,
"
 class torch.nn. Softsign [source] ¶","Applies the element-wise function: 
 SoftSign 
 Shape: 
 
 
 Examples: 
 
 
 
",,,,
"
 class torch.nn. Tanh [source] ¶","Applies the Hyperbolic Tangent (Tanh) function element-wise. Tanh is defined as: 
 Tanh 
 Shape: 
 
 
 Examples: 
 
 
 
",,,,
"
 class torch.nn. Tanhshrink [source] ¶","Applies the element-wise function: 
 Tanhshrink 
 Shape: 
 
 
 Examples: 
 
 
 
",,,,
"
 class torch.nn. Threshold ( threshold ,  value ,  inplace ) [source] ¶","Thresholds each element of the input Tensor. Threshold is defined as: 
 y 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> m=nn.Threshold(0.1,20)
>>> input=torch.randn(2)
>>> output=m(input)
",,,
"
 class torch.nn. GLU ( dim ) [source] ¶","Applies the gated linear unit function
 G  where  a  is the first half
of the input matrices and  b  is the second half. 
 Parameters 
 dim 
 
 Shape: 
 
 Examples: 
",">>> m=nn.GLU()
>>> input=torch.randn(4,2)
>>> output=m(input)
",,,
"
 class torch.nn. Softmin ( dim ) [source] ¶","Applies the Softmin function to an n-dimensional input Tensor
rescaling them so that the elements of the n-dimensional output Tensor
lie in the range  [0, 1]  and sum to 1. Softmin is defined as: 
 Softmin 
 Shape: 
 
 
 Parameters 
 dim 
 Returns 
 a Tensor of the same dimension and shape as the input, with
values in the range [0, 1] 
 Return type 
 None 
 Examples: 
",">>> m=nn.Softmin(dim=1)
>>> input=torch.randn(2,3)
>>> output=m(input)
",,,
"
 class torch.nn. Softmax ( dim ) [source] ¶","Applies the Softmax function to an n-dimensional input Tensor
rescaling them so that the elements of the n-dimensional output Tensor
lie in the range [0,1] and sum to 1. Softmax is defined as: 
 Softmax When the input Tensor is a sparse tensor then the unspecifed
values are treated as  -inf . 
 Shape: 
 
 
 Returns 
 a Tensor of the same dimension and shape as the input with
values in the range [0, 1] 
 Parameters 
 dim 
 Return type 
 None 
 
 Note 
 This module doesn’t work directly with NLLLoss,
which expects the Log to be computed between the Softmax and itself.
Use  
 Examples: 
",">>> m=nn.Softmax(dim=1)
>>> input=torch.randn(2,3)
>>> output=m(input)
",,,
"
 class torch.nn. Softmax2d [source] ¶","Applies SoftMax over features to each spatial location. When given an image of  Channels , it will
apply  Softmax  to each location  ( 
 Shape: 
 
 
 Returns 
 a Tensor of the same dimension and shape as the input with
values in the range [0, 1] 
 Return type 
 None 
 Examples: 
",">>> m=nn.Softmax2d()
>>> # you softmax over the 2nd dimension
>>> input=torch.randn(2,3,12,13)
>>> output=m(input)
",,,
"
 class torch.nn. LogSoftmax ( dim ) [source] ¶","Applies the  log  function to an n-dimensional
input Tensor. The LogSoftmax formulation can be simplified as: 
 LogSoftmax 
 Shape: 
 
 
 Parameters 
 dim 
 Returns 
 a Tensor of the same dimension and shape as the input with
values in the range [-inf, 0) 
 Return type 
 None 
 Examples: 
",">>> m=nn.LogSoftmax(dim=1)
>>> input=torch.randn(2,3)
>>> output=m(input)
",,,
"
 class torch.nn. AdaptiveLogSoftmaxWithLoss ( in_features ,  n_classes ,  cutoffs ,  div_value ,  head_bias ,  device ,  dtype ) [source] ¶","Efficient softmax approximation as described in
 Efficient softmax approximation for GPUs by Edouard Grave, Armand Joulin,
Moustapha Cissé, David Grangier, and Hervé Jégou . Adaptive softmax is an approximate strategy for training models with large
output spaces. It is most effective when the label distribution is highly
imbalanced, for example in natural language modelling, where the word
frequency distribution approximately follows the  Zipf’s law . Adaptive softmax partitions the labels into several clusters, according to
their frequency. These clusters may contain different number of targets
each.
Additionally, clusters containing less frequent labels assign lower
dimensional embeddings to those labels, which speeds up the computation.
For each minibatch, only clusters for which at least one target is
present are evaluated. The idea is that the clusters which are accessed frequently
(like the first one, containing most frequent labels), should also be cheap
to compute – that is, contain a small number of assigned labels. We highly recommend taking a look at the original paper for more details. 
 cutoffs 
 div_value 
 head_bias 
 
 Warning 
 Labels passed as inputs to this module should be sorted according to
their frequency. This means that the most frequent label should be
represented by the index  
 
 Note 
 This module returns a  
 
 Note 
 To compute log-probabilities for all classes, the  
 
 Parameters 
 
 
 Returns 
 
 
 Return type 
 NamedTuple 
 
 Shape: 
 
 
 
 
 Computes log probabilities for all  
 
 
 This is equivalent to ",,,,
"
 class torch.nn. BatchNorm1d ( num_features ,  eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","Applies Batch Normalization over a 2D or 3D input as described in the paper
 Batch Normalization: Accelerating Deep Network Training by Reducing
Internal Covariate Shift  . 
 y The mean and standard-deviation are calculated per-dimension over
the mini-batches and  γ  and  β  are learnable parameter vectors
of size  C  (where  C  is the number of features or channels of the input). By default, the
elements of  γ  are set to 1 and the elements of  β  are set to 0. The
standard-deviation is calculated via the biased estimator, equivalent to  torch.var(input, unbiased=False) . Also by default, during training this layer keeps running estimates of its
computed mean and variance, which are then used for normalization during
evaluation. The running estimates are kept with a default  momentum 
of 0.1. If  track_running_stats  is set to  False , this layer then does not
keep running estimates, and batch statistics are instead used during
evaluation time as well. 
 Note 
 This  
 Because the Batch Normalization is done over the  C  dimension, computing statistics
on  (N, L)  slices, it’s common terminology to call this Temporal Batch Normalization. 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> # With Learnable Parameters
>>> m=nn.BatchNorm1d(100)
>>> # Without Learnable Parameters
>>> m=nn.BatchNorm1d(100,affine=False)
>>> input=torch.randn(20,100)
>>> output=m(input)
",,,
"
 class torch.nn. BatchNorm2d ( num_features ,  eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","Applies Batch Normalization over a 4D input (a mini-batch of 2D inputs
with additional channel dimension) as described in the paper
 Batch Normalization: Accelerating Deep Network Training by Reducing
Internal Covariate Shift  . 
 y The mean and standard-deviation are calculated per-dimension over
the mini-batches and  γ  and  β  are learnable parameter vectors
of size  C  (where  C  is the input size). By default, the elements of  γ  are set
to 1 and the elements of  β  are set to 0. The standard-deviation is calculated
via the biased estimator, equivalent to  torch.var(input, unbiased=False) . Also by default, during training this layer keeps running estimates of its
computed mean and variance, which are then used for normalization during
evaluation. The running estimates are kept with a default  momentum 
of 0.1. If  track_running_stats  is set to  False , this layer then does not
keep running estimates, and batch statistics are instead used during
evaluation time as well. 
 Note 
 This  
 Because the Batch Normalization is done over the  C  dimension, computing statistics
on  (N, H, W)  slices, it’s common terminology to call this Spatial Batch Normalization. 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> # With Learnable Parameters
>>> m=nn.BatchNorm2d(100)
>>> # Without Learnable Parameters
>>> m=nn.BatchNorm2d(100,affine=False)
>>> input=torch.randn(20,100,35,45)
>>> output=m(input)
",,,
"
 class torch.nn. BatchNorm3d ( num_features ,  eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","Applies Batch Normalization over a 5D input (a mini-batch of 3D inputs
with additional channel dimension) as described in the paper
 Batch Normalization: Accelerating Deep Network Training by Reducing
Internal Covariate Shift  . 
 y The mean and standard-deviation are calculated per-dimension over
the mini-batches and  γ  and  β  are learnable parameter vectors
of size  C  (where  C  is the input size). By default, the elements of  γ  are set
to 1 and the elements of  β  are set to 0. The standard-deviation is calculated
via the biased estimator, equivalent to  torch.var(input, unbiased=False) . Also by default, during training this layer keeps running estimates of its
computed mean and variance, which are then used for normalization during
evaluation. The running estimates are kept with a default  momentum 
of 0.1. If  track_running_stats  is set to  False , this layer then does not
keep running estimates, and batch statistics are instead used during
evaluation time as well. 
 Note 
 This  
 Because the Batch Normalization is done over the  C  dimension, computing statistics
on  (N, D, H, W)  slices, it’s common terminology to call this Volumetric Batch Normalization
or Spatio-temporal Batch Normalization. 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> # With Learnable Parameters
>>> m=nn.BatchNorm3d(100)
>>> # Without Learnable Parameters
>>> m=nn.BatchNorm3d(100,affine=False)
>>> input=torch.randn(20,100,35,45,10)
>>> output=m(input)
",,,
"
 class torch.nn. LazyBatchNorm1d ( eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","A  torch.nn.BatchNorm1d  module with lazy initialization of
the  num_features  argument of the  BatchNorm1d  that is inferred
from the  input.size(1) .
The attributes that will be lazily initialized are  weight ,  bias ,
 running_mean  and  running_var . Check the  torch.nn.modules.lazy.LazyModuleMixin  for further documentation
on lazy modules and their limitations. 
 Parameters 
 
 
 
 
 
 alias of ",,,,
"
 class torch.nn. LazyBatchNorm2d ( eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","A  torch.nn.BatchNorm2d  module with lazy initialization of
the  num_features  argument of the  BatchNorm2d  that is inferred
from the  input.size(1) .
The attributes that will be lazily initialized are  weight ,  bias ,
 running_mean  and  running_var . Check the  torch.nn.modules.lazy.LazyModuleMixin  for further documentation
on lazy modules and their limitations. 
 Parameters 
 
 
 
 
 
 alias of ",,,,
"
 class torch.nn. LazyBatchNorm3d ( eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","A  torch.nn.BatchNorm3d  module with lazy initialization of
the  num_features  argument of the  BatchNorm3d  that is inferred
from the  input.size(1) .
The attributes that will be lazily initialized are  weight ,  bias ,
 running_mean  and  running_var . Check the  torch.nn.modules.lazy.LazyModuleMixin  for further documentation
on lazy modules and their limitations. 
 Parameters 
 
 
 
 
 
 alias of ",,,,
"
 class torch.nn. GroupNorm ( num_groups ,  num_channels ,  eps ,  affine ,  device ,  dtype ) [source] ¶","Applies Group Normalization over a mini-batch of inputs as described in
the paper  Group Normalization 
 y The input channels are separated into  num_groups  groups, each containing
 num_channels  channels.  num_channels  must be divisible by
 num_groups . The mean and standard-deviation are calculated
separately over the each group.  γ  and  β  are learnable
per-channel affine transform parameter vectors of size  num_channels  if
 affine  is  True .
The standard-deviation is calculated via the biased estimator, equivalent to
 torch.var(input, unbiased=False) . This layer uses statistics computed from input data in both training and
evaluation modes. 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> input=torch.randn(20,6,10,10)
>>> # Separate 6 channels into 3 groups
>>> m=nn.GroupNorm(3,6)
>>> # Separate 6 channels into 6 groups (equivalent with InstanceNorm)
>>> m=nn.GroupNorm(6,6)
>>> # Put all 6 channels into a single group (equivalent with LayerNorm)
>>> m=nn.GroupNorm(1,6)
>>> # Activating the module
>>> output=m(input)
",,,
"
 class torch.nn. SyncBatchNorm ( num_features ,  eps ,  momentum ,  affine ,  track_running_stats ,  process_group ,  device ,  dtype ) [source] ¶","Applies Batch Normalization over a N-Dimensional input (a mini-batch of [N-2]D inputs
with additional channel dimension) as described in the paper
 Batch Normalization: Accelerating Deep Network Training by Reducing
Internal Covariate Shift  . 
 y The mean and standard-deviation are calculated per-dimension over all
mini-batches of the same process groups.  γ  and  β 
are learnable parameter vectors of size  C  (where  C  is the input size).
By default, the elements of  γ  are sampled from
 U  and the elements of  β  are set to 0.
The standard-deviation is calculated via the biased estimator, equivalent to
 torch.var(input, unbiased=False) . Also by default, during training this layer keeps running estimates of its
computed mean and variance, which are then used for normalization during
evaluation. The running estimates are kept with a default  momentum 
of 0.1. If  track_running_stats  is set to  False , this layer then does not
keep running estimates, and batch statistics are instead used during
evaluation time as well. 
 Note 
 This  
 Because the Batch Normalization is done for each channel in the  C  dimension, computing
statistics on  (N,  slices, it’s common terminology to call this Volumetric Batch
Normalization or Spatio-temporal Batch Normalization. Currently  SyncBatchNorm  only supports
 DistributedDataParallel  (DDP) with single GPU per process. Use
 torch.nn.SyncBatchNorm.convert_sync_batchnorm()  to convert
 BatchNorm*D  layer to  SyncBatchNorm  before wrapping
Network with DDP. 
 Parameters 
 
 
 
 Shape: 
 
 
 Note 
 Synchronization of batchnorm statistics occurs only while training, i.e.
synchronization is disabled when  
 Examples: 
 
 
 
 Helper function to convert all ",">>> # With Learnable Parameters
>>> m=nn.SyncBatchNorm(100)
>>> # creating process group (optional)
>>> # ranks is a list of int identifying rank ids.
>>> ranks=list(range(8))
>>> r1,r2=ranks[:4],ranks[4:]
>>> # Note: every rank calls into new_group for every
>>> # process group created, even if that rank is not
>>> # part of the group.
>>> process_groups=[torch.distributed.new_group(pids)forpidsin[r1,r2]]
>>> process_group=process_groups[0ifdist.get_rank()<=3else1]
>>> # Without Learnable Parameters
>>> m=nn.BatchNorm3d(100,affine=False,process_group=process_group)
>>> input=torch.randn(20,100,35,45,10)
>>> output=m(input)>>> # network is nn.BatchNorm layer
>>> sync_bn_network=nn.SyncBatchNorm.convert_sync_batchnorm(network,process_group)
>>> # only single gpu per process is currently supported
>>> ddp_sync_bn_network=torch.nn.parallel.DistributedDataParallel(
>>> sync_bn_network,
>>> device_ids=[args.local_rank],
>>> output_device=args.local_rank)
",,,
"
 class torch.nn. InstanceNorm1d ( num_features ,  eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","Applies Instance Normalization over a 2D (unbatched) or 3D (batched) input
as described in the paper
 Instance Normalization: The Missing Ingredient for Fast Stylization . 
 y The mean and standard-deviation are calculated per-dimension separately
for each object in a mini-batch.  γ  and  β  are learnable parameter vectors
of size  C  (where  C  is the number of features or channels of the input) if  affine  is  True .
The standard-deviation is calculated via the biased estimator, equivalent to
 torch.var(input, unbiased=False) . By default, this layer uses instance statistics computed from input data in
both training and evaluation modes. If  track_running_stats  is set to  True , during training this
layer keeps running estimates of its computed mean and variance, which are
then used for normalization during evaluation. The running estimates are
kept with a default  momentum  of 0.1. 
 Note 
 This  
 
 Note 
 InstanceNorm1d 
 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> # Without Learnable Parameters
>>> m=nn.InstanceNorm1d(100)
>>> # With Learnable Parameters
>>> m=nn.InstanceNorm1d(100,affine=True)
>>> input=torch.randn(20,100,40)
>>> output=m(input)
",,,
"
 class torch.nn. InstanceNorm2d ( num_features ,  eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","Applies Instance Normalization over a 4D input (a mini-batch of 2D inputs
with additional channel dimension) as described in the paper
 Instance Normalization: The Missing Ingredient for Fast Stylization . 
 y The mean and standard-deviation are calculated per-dimension separately
for each object in a mini-batch.  γ  and  β  are learnable parameter vectors
of size  C  (where  C  is the input size) if  affine  is  True .
The standard-deviation is calculated via the biased estimator, equivalent to
 torch.var(input, unbiased=False) . By default, this layer uses instance statistics computed from input data in
both training and evaluation modes. If  track_running_stats  is set to  True , during training this
layer keeps running estimates of its computed mean and variance, which are
then used for normalization during evaluation. The running estimates are
kept with a default  momentum  of 0.1. 
 Note 
 This  
 
 Note 
 InstanceNorm2d 
 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> # Without Learnable Parameters
>>> m=nn.InstanceNorm2d(100)
>>> # With Learnable Parameters
>>> m=nn.InstanceNorm2d(100,affine=True)
>>> input=torch.randn(20,100,35,45)
>>> output=m(input)
",,,
"
 class torch.nn. InstanceNorm3d ( num_features ,  eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","Applies Instance Normalization over a 5D input (a mini-batch of 3D inputs
with additional channel dimension) as described in the paper
 Instance Normalization: The Missing Ingredient for Fast Stylization . 
 y The mean and standard-deviation are calculated per-dimension separately
for each object in a mini-batch.  γ  and  β  are learnable parameter vectors
of size C (where C is the input size) if  affine  is  True .
The standard-deviation is calculated via the biased estimator, equivalent to
 torch.var(input, unbiased=False) . By default, this layer uses instance statistics computed from input data in
both training and evaluation modes. If  track_running_stats  is set to  True , during training this
layer keeps running estimates of its computed mean and variance, which are
then used for normalization during evaluation. The running estimates are
kept with a default  momentum  of 0.1. 
 Note 
 This  
 
 Note 
 InstanceNorm3d 
 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> # Without Learnable Parameters
>>> m=nn.InstanceNorm3d(100)
>>> # With Learnable Parameters
>>> m=nn.InstanceNorm3d(100,affine=True)
>>> input=torch.randn(20,100,35,45,10)
>>> output=m(input)
",,,
"
 class torch.nn. LazyInstanceNorm1d ( eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","A  torch.nn.InstanceNorm1d  module with lazy initialization of
the  num_features  argument of the  InstanceNorm1d  that is inferred
from the  input.size(1) .
The attributes that will be lazily initialized are  weight ,  bias ,
 running_mean  and  running_var . Check the  torch.nn.modules.lazy.LazyModuleMixin  for further documentation
on lazy modules and their limitations. 
 Parameters 
 
 
 
 Shape: 
 
 
 
 
 alias of ",,,,
"
 class torch.nn. LazyInstanceNorm2d ( eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","A  torch.nn.InstanceNorm2d  module with lazy initialization of
the  num_features  argument of the  InstanceNorm2d  that is inferred
from the  input.size(1) .
The attributes that will be lazily initialized are  weight ,  bias ,
 running_mean  and  running_var . Check the  torch.nn.modules.lazy.LazyModuleMixin  for further documentation
on lazy modules and their limitations. 
 Parameters 
 
 
 
 Shape: 
 
 
 
 
 alias of ",,,,
"
 class torch.nn. LazyInstanceNorm3d ( eps ,  momentum ,  affine ,  track_running_stats ,  device ,  dtype ) [source] ¶","A  torch.nn.InstanceNorm3d  module with lazy initialization of
the  num_features  argument of the  InstanceNorm3d  that is inferred
from the  input.size(1) .
The attributes that will be lazily initialized are  weight ,  bias ,
 running_mean  and  running_var . Check the  torch.nn.modules.lazy.LazyModuleMixin  for further documentation
on lazy modules and their limitations. 
 Parameters 
 
 
 
 Shape: 
 
 
 
 
 alias of ",,,,
"
 class torch.nn. LayerNorm ( normalized_shape ,  eps ,  elementwise_affine ,  device ,  dtype ) [source] ¶","Applies Layer Normalization over a mini-batch of inputs as described in
the paper  Layer Normalization 
 y The mean and standard-deviation are calculated over the last  D  dimensions, where  D 
is the dimension of  normalized_shape . For example, if  normalized_shape 
is  (3,  (a 2-dimensional shape), the mean and standard-deviation are computed over
the last 2 dimensions of the input (i.e.  input.mean((-2, ).
 γ  and  β  are learnable affine transform parameters of
 normalized_shape  if  elementwise_affine  is  True .
The standard-deviation is calculated via the biased estimator, equivalent to
 torch.var(input, unbiased=False) . 
 Note 
 Unlike Batch Normalization and Instance Normalization, which applies
scalar scale and bias for each entire channel/plane with the
 
 This layer uses statistics computed from input data in both training and
evaluation modes. 
 Parameters 
 
 
 Variables 
 
 
 
 Shape: 
 
 Examples: 
",">>> # NLP Example
>>> batch,sentence_length,embedding_dim=20,5,10
>>> embedding=torch.randn(batch,sentence_length,embedding_dim)
>>> layer_norm=nn.LayerNorm(embedding_dim)
>>> # Activate module
>>> layer_norm(embedding)
>>>
>>> # Image Example
>>> N,C,H,W=20,5,10,10
>>> input=torch.randn(N,C,H,W)
>>> # Normalize over the last three dimensions (i.e. the channel and spatial dimensions)
>>> # as shown in the image below
>>> layer_norm=nn.LayerNorm([C,H,W])
>>> output=layer_norm(input)
",,,
"
 class torch.nn. LocalResponseNorm ( size ,  alpha ,  beta ,  k ) [source] ¶","Applies local response normalization over an input signal composed
of several input planes, where channels occupy the second dimension.
Applies normalization across channels. 
 b 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> lrn=nn.LocalResponseNorm(2)
>>> signal_2d=torch.randn(32,5,24,24)
>>> signal_4d=torch.randn(16,5,7,7,7,7)
>>> output_2d=lrn(signal_2d)
>>> output_4d=lrn(signal_4d)
",,,
"
 class torch.nn. RNNBase ( mode ,  input_size ,  hidden_size ,  num_layers ,  bias ,  batch_first ,  dropout ,  bidirectional ,  proj_size ,  device ,  dtype ) [source] ¶","
 
 
 
 Resets parameter data pointer so that they can use faster code paths.",,,,
"
 class torch.nn. RNN ( * ,  ** ) [source] ¶","Applies a multi-layer Elman RNN with  tanh  or  ReLU  non-linearity to an
input sequence. For each element in the input sequence, each layer computes the following
function: 
 h where  h  is the hidden state at time  t ,  x  is
the input at time  t , and  h  is the hidden state of the
previous layer at time  t-1  or the initial hidden state at time  0 .
If  nonlinearity  is  'relu' , then  ReLU  is used instead of  tanh . 
 Parameters 
 
 
 
 Inputs: input, h_0 
 
 Outputs: output, h_n 
 
 
 Variables 
 
 
 
 Note 
 All the weights and biases are initialized from  
 
 Note 
 For bidirectional RNNs, forward and backward are directions 0 and 1 respectively.
Example of splitting the output layers when  
 
 Note 
 batch_first 
 
 Warning 
 There are known non-determinism issues for RNN functions on some versions of cuDNN and CUDA.
You can enforce deterministic behavior by setting the following environment variables: 
 On CUDA 10.1, set environment variable  
 On CUDA 10.2 or later, set environment variable
(note the leading colon symbol)
 
 See the  
 
 Note 
 If the following conditions are satisfied:
1) cudnn is enabled,
2) input data is on the GPU
3) input data has dtype  
 Examples: 
",">>> rnn=nn.RNN(10,20,2)
>>> input=torch.randn(5,3,10)
>>> h0=torch.randn(2,3,20)
>>> output,hn=rnn(input,h0)
",,,
"
 class torch.nn. LSTM ( * ,  ** ) [source] ¶","Applies a multi-layer long short-term memory (LSTM) RNN to an input
sequence. For each element in the input sequence, each layer computes the following
function: 
 where  h  is the hidden state at time  t ,  c  is the cell
state at time  t ,  x  is the input at time  t ,  h 
is the hidden state of the layer at time  t-1  or the initial hidden
state at time  0 , and  i ,  f ,  g ,
 o  are the input, forget, cell, and output gates, respectively.
 σ  is the sigmoid function, and  ⊙  is the Hadamard product. In a multilayer LSTM, the input  x  of the  l  -th layer
( l ) is the hidden state  h  of the previous layer multiplied by
dropout  δ  where each  δ  is a Bernoulli random
variable which is  0  with probability  dropout . If  proj_size  is specified, LSTM with projections will be used. This changes
the LSTM cell in the following way. First, the dimension of  h  will be changed from
 hidden_size  to  proj_size  (dimensions of  W  will be changed accordingly).
Second, the output hidden state of each layer will be multiplied by a learnable projection
matrix:  h . Note that as a consequence of this, the output
of LSTM network will be of different shape as well. See Inputs/Outputs sections below for exact
dimensions of all variables. You can find more details in  https://arxiv.org/abs/1402.1128 . 
 Parameters 
 
 
 
 Inputs: input, (h_0, c_0) 
 
 Outputs: output, (h_n, c_n) 
 
 
 Variables 
 
 
 
 Note 
 All the weights and biases are initialized from  
 
 Note 
 For bidirectional LSTMs, forward and backward are directions 0 and 1 respectively.
Example of splitting the output layers when  
 
 Note 
 For bidirectional LSTMs,  
 
 Note 
 batch_first 
 
 Warning 
 There are known non-determinism issues for RNN functions on some versions of cuDNN and CUDA.
You can enforce deterministic behavior by setting the following environment variables: 
 On CUDA 10.1, set environment variable  
 On CUDA 10.2 or later, set environment variable
(note the leading colon symbol)
 
 See the  
 
 Note 
 If the following conditions are satisfied:
1) cudnn is enabled,
2) input data is on the GPU
3) input data has dtype  
 Examples: 
",">>> rnn=nn.LSTM(10,20,2)
>>> input=torch.randn(5,3,10)
>>> h0=torch.randn(2,3,20)
>>> c0=torch.randn(2,3,20)
>>> output,(hn,cn)=rnn(input,(h0,c0))
",,,
"
 class torch.nn. GRU ( * ,  ** ) [source] ¶","Applies a multi-layer gated recurrent unit (GRU) RNN to an input sequence. For each element in the input sequence, each layer computes the following
function: 
 r where  h  is the hidden state at time  t ,  x  is the input
at time  t ,  h  is the hidden state of the layer
at time  t-1  or the initial hidden state at time  0 , and  r ,
 z ,  n  are the reset, update, and new gates, respectively.
 σ  is the sigmoid function, and  ∗  is the Hadamard product. In a multilayer GRU, the input  x  of the  l  -th layer
( l ) is the hidden state  h  of the previous layer multiplied by
dropout  δ  where each  δ  is a Bernoulli random
variable which is  0  with probability  dropout . 
 Parameters 
 
 
 
 Inputs: input, h_0 
 
 Outputs: output, h_n 
 
 
 Variables 
 
 
 
 Note 
 All the weights and biases are initialized from  
 
 Note 
 For bidirectional GRUs, forward and backward are directions 0 and 1 respectively.
Example of splitting the output layers when  
 
 Note 
 batch_first 
 
 Note 
 If the following conditions are satisfied:
1) cudnn is enabled,
2) input data is on the GPU
3) input data has dtype  
 Examples: 
",">>> rnn=nn.GRU(10,20,2)
>>> input=torch.randn(5,3,10)
>>> h0=torch.randn(2,3,20)
>>> output,hn=rnn(input,h0)
",,,
"
 class torch.nn. RNNCell ( input_size ,  hidden_size ,  bias ,  nonlinearity ,  device ,  dtype ) [source] ¶","An Elman RNN cell with tanh or ReLU non-linearity. 
 h If  nonlinearity  is  ‘relu’ , then ReLU is used in place of tanh. 
 Parameters 
 
 
 
 Inputs: input, hidden 
 
 Outputs: h’ 
 
 Shape: 
 
 
 Variables 
 
 
 
 Note 
 All the weights and biases are initialized from  
 Examples: 
",">>> rnn=nn.RNNCell(10,20)
>>> input=torch.randn(6,3,10)
>>> hx=torch.randn(3,20)
>>> output=[]
>>> foriinrange(6):
... hx=rnn(input[i],hx)
... output.append(hx)
",,,
